,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600466.SH,20200109,7.47,7.62,7.47,7.61,7.35,0.26,3.5374,283641.03,214539.98
1,600466.SH,20200108,7.39,7.42,7.24,7.35,7.44,-0.09,-1.2097,284825.73,208681.132
2,600466.SH,20200107,7.39,7.46,7.34,7.44,7.39,0.05,0.6766,184625.73,136598.597
3,600466.SH,20200106,7.5,7.52,7.32,7.39,7.51,-0.12,-1.5979,277165.89,205954.023
4,600466.SH,20200103,7.64,7.67,7.49,7.51,7.68,-0.17,-2.2135,357084.21,270448.509
5,600466.SH,20200102,7.48,7.75,7.48,7.68,7.37,0.31,4.2062,534245.85,408970.886
6,600466.SH,20191231,7.16,7.42,7.14,7.37,7.15,0.22,3.0769,350288.63,255521.473
7,600466.SH,20191230,7.1,7.21,7.09,7.15,7.07,0.08,1.1315,204694.5,146029.866
8,600466.SH,20191227,7.08,7.15,7.05,7.07,7.09,-0.02,-0.2821,216955.11,153870.432
9,600466.SH,20191226,7.03,7.17,7.02,7.09,6.96,0.13,1.8678,278274.48,197859.167
10,600466.SH,20191225,6.98,7.02,6.9,6.96,6.98,-0.02,-0.2865,145966.7,101695.003
11,600466.SH,20191224,7.07,7.12,6.9,6.98,7.06,-0.08,-1.1331,256669.6,179128.603
12,600466.SH,20191223,7.21,7.31,7.03,7.06,7.17,-0.11,-1.5342,263709.31,188965.516
13,600466.SH,20191220,7.1,7.4,7.04,7.17,7.08,0.09,1.2712,408155.04,295452.832
14,600466.SH,20191219,7.14,7.27,7.07,7.08,7.16,-0.08,-1.1173,237258.36,169521.126
15,600466.SH,20191218,7.08,7.16,7.03,7.16,7.09,0.07,0.9873,253533.79,179857.744
16,600466.SH,20191217,6.98,7.17,6.93,7.09,6.99,0.1,1.4306,306029.0,215983.95
17,600466.SH,20191216,7.02,7.02,6.9,6.99,6.97,0.02,0.2869,234805.95,163216.663
18,600466.SH,20191213,6.98,6.99,6.86,6.97,6.89,0.08,1.1611,244630.11,169440.708
19,600466.SH,20191212,6.94,7.08,6.88,6.89,6.97,-0.08,-1.1478,221057.8,153555.0
20,600466.SH,20191211,6.89,6.99,6.83,6.97,6.88,0.09,1.3081,244556.43,169447.588
21,600466.SH,20191210,6.89,6.92,6.8,6.88,6.91,-0.03,-0.4342,174294.33,119396.283
22,600466.SH,20191209,6.71,6.95,6.71,6.91,6.7,0.21,3.1343,344306.59,236074.904
23,600466.SH,20191206,6.69,6.72,6.62,6.7,6.71,-0.01,-0.149,156441.72,104217.549
24,600466.SH,20191205,6.78,6.8,6.64,6.71,6.79,-0.08,-1.1782,180651.42,121025.965
25,600466.SH,20191204,6.85,6.86,6.69,6.79,6.93,-0.14,-2.0202,189931.45,128653.541
26,600466.SH,20191203,6.8,6.93,6.74,6.93,6.82,0.11,1.6129,226870.64,155112.617
27,600466.SH,20191202,6.64,6.87,6.64,6.82,6.62,0.2,3.0211,212098.56,143891.492
28,600466.SH,20191129,6.68,6.77,6.59,6.62,6.68,-0.06,-0.8982,131659.57,87758.985
29,600466.SH,20191128,6.8,6.85,6.66,6.68,6.8,-0.12,-1.7647,196158.58,131887.185
30,600466.SH,20191127,6.61,6.98,6.57,6.8,6.52,0.28,4.2945,467891.36,318718.401
31,600466.SH,20191126,6.78,6.85,6.52,6.52,6.83,-0.31,-4.5388,327127.59,216669.574
32,600466.SH,20191125,6.67,6.94,6.62,6.83,6.62,0.21,3.1722,306670.25,208872.957
33,600466.SH,20191122,6.72,6.86,6.59,6.62,6.72,-0.1,-1.4881,222599.44,149340.04
